idx,pred,true
0,3072.491455078125,[3075.68408203125]
1,3131.4501953125,[3123.985107421875]
2,3136.886474609375,[3058.545166015625]
3,3112.1142578125,[3044.522216796875]
4,3078.748046875,[3007.128173828125]
5,3042.50537109375,[2946.362060546875]
6,3003.3818359375,[2915.199951171875]
7,2959.71484375,[2915.199951171875]
8,2943.0087890625,[2905.85107421875]
9,2928.19140625,[2885.59619140625]
10,2917.78515625,[2941.688232421875]
11,2930.73681640625,[2919.8740234375]
12,2925.923095703125,[2961.943115234375]
13,2943.936767578125,[2952.593994140625]
14,2956.061767578125,[2860.667236328125]
15,2944.94580078125,[2848.2021484375]
16,2899.343505859375,[2788.994140625]
17,2862.8505859375,[2804.5751953125]
18,2822.290771484375,[2845.086181640625]
19,2831.49755859375,[2810.80810546875]
